file;v11_key;construct_label_verbatim;ES_source;table_no
staging_Lin_et_al_2025.csv;Lin et al (2025);DCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);DCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);TCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);TCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);TCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);DISCLOSURE;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);DISCLOSURE;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);DISCLOSURE;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);DCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);DCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);DCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);TCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);TCO2;FLAG;Table 5
staging_Lin_et_al_2025.csv;Lin et al (2025);TCO2;FLAG;Table 5
staging_Ng_Rezaee_unknown.csv;Ng & Rezaee (2012);ENVt-1;Correlation coefficient available;Table 3
staging_Ould_Daoud_Ellili_2020.csv;Ould Daoud Ellili (2020);ES;T-Statistic available;Table A2
staging_Ould_Daoud_Ellili_2020.csv;Ould Daoud Ellili (2020);ES;T-Statistic available;Table A2
staging_Ould_Daoud_Ellili_2020.csv;Ould Daoud Ellili (2020);ES;T-Statistic available;Table A6
staging_Piechocka-Kaluzna_et_al_2021.csv;Piechocka-Kałużna et al (2021);E;T-Statistic available;Table 4
staging_Piechocka-Kaluzna_et_al_2021.csv;Piechocka-Kałużna et al (2021);E;T-Statistic available;Table 4
staging_Piechocka-Kaluzna_et_al_2021.csv;Piechocka-Kałużna et al (2021);E;T-Statistic available;Table 4
staging_Piechocka-Kaluzna_et_al_2021.csv;Piechocka-Kałużna et al (2021);E;T-Statistic available;Table 4
staging_Piechocka-Kaluzna_et_al_2021.csv;Piechocka-Kałużna et al (2021);E;T-Statistic available;Table 4
staging_Polebennikov_et_al_2016.csv;Polbennikov et al (2016);Env Score (bp per std);T-Statistic available;Exhibit 13
staging_Polebennikov_et_al_2016.csv;Polbennikov et al (2016);Env Score (bp per std);T-Statistic available;Exhibit 13
staging_Polebennikov_et_al_2016.csv;Polbennikov et al (2016);Env Score (bp per std);T-Statistic available;Exhibit 13
staging_Polebennikov_et_al_2016.csv;Polbennikov et al (2016);Env Score (bp per std);T-Statistic available;Exhibit 13
staging_Ratajczak_Mikolajewicz_2021.csv;Ratajczak & Mikolajewicz (2021);log_CSR Environmental;FLAG;Table 3
staging_Ratajczak_Mikolajewicz_2021.csv;Ratajczak & Mikolajewicz (2021);log_CSR Environmental;FLAG;Table 4
staging_Ratajczak_Mikolajewicz_2021.csv;Ratajczak & Mikolajewicz (2021);log_CSR Environmental;FLAG;Table 4
staging_Salvi_et_al_2021.csv;Salvi et al (2021);Environmental Score;FLAG;Table 8
staging_Salvi_et_al_2021.csv;Salvi et al (2021);Environmental Score;FLAG;Table 8
staging_Temiz_2022.csv;Temiz (2022);EnvPer;FLAG;Table 4
staging_Temiz_2022.csv;Temiz (2022);ResRed Score;FLAG;Table 5
staging_Temiz_2022.csv;Temiz (2022);Emission Score;FLAG;Table 5
staging_Temiz_2022.csv;Temiz (2022);EnvProd Score;FLAG;Table 5
staging_Truong_Kim_2019.csv;Truong, Kim (2019);environment (CSR_ENV);T-Statistic available;Table 4
staging_Truong_Kim_2019.csv;Truong, Kim (2019);environment (CSR_ENV);T-Statistic available;Table 4
staging_Truong_Kim_2019.csv;Truong, Kim (2019);environment (CSR_ENV);T-Statistic available;Table A1
staging_Truong_Kim_2019.csv;Truong, Kim (2019);environment (CSR_ENV);T-Statistic available;Table A1
staging_Truong_Kim_2019.csv;Truong, Kim (2019);environment (CSR_ENV);T-Statistic available;Table A1
staging_Wang_et_al_2020.csv;Wang et al (2020);TCO2;b with significance stars only;Table 5
staging_Wang_et_al_2020.csv;Wang et al (2020);TCO2;b with significance stars only;Table 5
staging_Wang_et_al_2020.csv;Wang et al (2020);DCO2;b with significance stars only;Table 5
staging_Wang_et_al_2020.csv;Wang et al (2020);DCO2;b with significance stars only;Table 5
staging_Wang_et_al_2020.csv;Wang et al (2020);TCO2;b with significance stars only;Table 6
staging_Wang_et_al_2020.csv;Wang et al (2020);TCO2;b with significance stars only;Table 6
staging_Wang_et_al_2020.csv;Wang et al (2020);DCO2;b with significance stars only;Table 6
staging_Wang_et_al_2020.csv;Wang et al (2020);DCO2;b with significance stars only;Table 6
