study;construct_label_verbatim;CER_measure;COD_instrument;outcome_label_verbatim;ES_source;b;SE;t;p;r_bivariate;n_obs;subsample_note;x_direction;outcome_direction;x_lag;estimation_method;se_clustering;subsample_dimension;subsample_value;subsample_start;subsample_end;table_no;panel_model;page;cell_quote
Eliwa et al (2021);Environmental-perform;performance;loand (interest rate);CoD (interest expense / avg debt);T-Statistic available;-0.012;;-3.41;;;6018;;good-CER;cost;0;OLS;not stated;none;;;;Table 5;Panel A col 1;12;"Environmental-Perform -0.012*** (-3.41)"
Oikonomou et al (2014);Environment concerns;performance;rating;Bond rating (S&P score);p-Value available;0.4239;;;0.058;;7794;;bad-CER;creditworthiness;1;ordered probit;not stated;none;;;;Table 5;Bond rating col 1;67;"Environment concerns 0.4239 (0.058)"
