"cluster_id_dropped","k_es","k_study","est_z","se_z","ci_lb_z","ci_ub_z","df","sigma2_1","sigma2_2","sigma2_3","cooks_d_cluster","status","note"
"Nasih et al (2024)",2708,114,-0.057798361398829,0.0139448942410389,-0.0854319387373337,-0.0301647840603243,110.695191150199,0.0198506167992645,2.20613372831419e-09,0.0118956725927044,0.00374332617362529,"ok",""
"Ng & Rezaee (2012)",2707,114,-0.0587207796050902,0.0140000811740528,-0.0864637227906004,-0.03097783641958,110.693047473488,0.019999428589325,9.70063605766931e-10,0.0119059062576587,2.85134445341908e-05,"ok",""
"Oikonomou et al (2014)",2708,114,-0.0589985456647309,0.0139951669878333,-0.0867317499105692,-0.0312653414188926,110.693355960025,0.0199880986265418,1.88389230377009e-09,0.0118985092860861,0.000643718152090654,"ok",""
"Okimoto & Takaoka (2024)",2681,114,-0.0601094487057408,0.0138663487359505,-0.0875875255916713,-0.0326313718198102,110.641468202181,0.0195549101189174,1.63184049984047e-09,0.0120279543406806,0.0111275469572503,"ok",""
"Okimoto, Takaoka (2022)",2703,114,-0.0589952081062372,0.0139970667949823,-0.0867321824005521,-0.0312582338119223,110.691427845369,0.0199865759357358,1.68654005362663e-09,0.0119096377431944,0.000631562376310997,"ok",""
"Owolabi et al (2024)",2707,114,-0.0591470669390385,0.013991480138559,-0.0868729711075942,-0.0314211627704828,110.691230235081,0.0199731206722107,2.56446265571168e-09,0.0119003798443134,0.00130195324844716,"ok",""
"Palea, Drogo (2020)",2677,114,-0.0589626355601372,0.0140299325993749,-0.0867646746593865,-0.0311605964608879,110.714124308664,0.0200925720391523,2.88565810620179e-09,0.0118129464804456,0.000519012831560345,"ok",""
"Panjwani et al (2023)",2543,114,-0.0591372774927911,0.0139384381817984,-0.0867581849062511,-0.0315163700793312,110.65039054549,0.0197609246448841,2.70082923910465e-09,0.0121487522977218,0.00125150372513392,"ok",""
"Pizzutilo et al (2020)",2693,114,-0.0584831711413063,0.0139898079639861,-0.0862057818346456,-0.030760560447967,110.683949196592,0.0199449463925412,2.50993998405934e-09,0.0119776106971892,0.000139144157520404,"ok",""
"Ratajczak & Mikolajewicz (2021)",2707,114,-0.0580190129491744,0.0139645536888896,-0.0856915512052842,-0.0303464746930646,110.694022896866,0.0199061635850693,2.42973702525443e-09,0.0119014190822299,0.00204936223080283,"ok",""
"Ririmasse et al (2026)",2695,114,-0.0591586874736041,0.0139827400069768,-0.0868672964415943,-0.031450078505614,110.682379030169,0.0199273843969934,1.7948343933051e-09,0.0119626421595433,0.00136313318257288,"ok",""
