"analysis_id","spec","subset","term","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"B3","end_lag1","defined","diff","Fisher_z","3LMA-RVE_CR2",0.6,2705,113,112,-0.00636445665690057,0.0206191866471172,-0.308666717355235,17.7558878107286,0.7611672683926,-0.0497264895452708,0.0369975762314697,,,,,,,,0.020396787831378,3.01920394432889e-09,0.0118806026219398,,,,,,,FALSE,,"post - pre moderator contrast (own formal inference per model [DEC-031a.6]); difference of Fisher-z means; no tanh transform of differences; pp_end_lag1; appendix [plan par.6]"
"B3","end_lag2","defined","cell_pre","Fisher_z","3LMA-RVE_CR2",0.6,958,50,50,-0.0815676228208538,0.0278117675588998,-2.9328456973513,34.1463046104557,0.00596086115219398,-0.138079016012127,-0.0250562296295806,,,-0.0813872056197602,-0.137208127446926,-0.0250509873900832,,,0.0199754467270808,3.19857523329889e-09,0.0118795586144005,,,,,,,FALSE,,"Cell mean at coding = 0 (pre); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; pp_end_lag2; appendix [plan par.6]"
"B3","end_lag2","defined","cell_post","Fisher_z","3LMA-RVE_CR2",0.6,1747,64,63,-0.041778067468085,0.00773813336249229,-5.39898519591154,51.0151795595056,1.76049309022207e-06,-0.0573129061873938,-0.0262432287487762,,,-0.041753777850011,-0.0572502353065569,-0.0262372057757333,,,0.0199754467270808,3.19857523329889e-09,0.0118795586144005,,,,,,,FALSE,,"Cell mean at coding = 1 (post); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; pp_end_lag2; appendix [plan par.6]"
"B3","end_lag2","defined","diff","Fisher_z","3LMA-RVE_CR2",0.6,2705,113,112,0.0397895553527688,0.0261407975073431,1.52212476844257,22.0108300678987,0.14221586082545,-0.0144215940460245,0.0940007047515621,,,,,,,,0.0199754467270808,3.19857523329889e-09,0.0118795586144005,,,,,,,FALSE,,"post - pre moderator contrast (own formal inference per model [DEC-031a.6]); difference of Fisher-z means; no tanh transform of differences; pp_end_lag2; appendix [plan par.6]"
"B3","end_lag3","defined","cell_pre","Fisher_z","3LMA-RVE_CR2",0.6,1292,63,63,-0.068530390773203,0.0227170068273654,-3.01669983611793,46.618257456048,0.00412988026404482,-0.114240994452634,-0.0228197870937724,,,-0.0684233095551028,-0.113746588699568,-0.0228158268396274,,,0.0203816323891591,1.9524079390416e-09,0.0118777598077872,,,,,,,FALSE,,"Cell mean at coding = 0 (pre); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; pp_end_lag3; appendix [plan par.6]"
"B3","end_lag3","defined","cell_post","Fisher_z","3LMA-RVE_CR2",0.6,1413,51,50,-0.0472114988841337,0.00902402662675733,-5.23175527254606,37.6771907254197,6.56546469956255e-06,-0.0654848270859678,-0.0289381706822997,,,-0.0471764531562816,-0.0653913819917187,-0.0289300956081782,,,0.0203816323891591,1.9524079390416e-09,0.0118777598077872,,,,,,,FALSE,,"Cell mean at coding = 1 (post); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; pp_end_lag3; appendix [plan par.6]"
"B3","end_lag3","defined","diff","Fisher_z","3LMA-RVE_CR2",0.6,2705,113,112,0.0213188918890692,0.0217628822200088,0.979598734834334,22.3049715472071,0.337790635985211,-0.0237788111571785,0.0664165949353169,,,,,,,,0.0203816323891591,1.9524079390416e-09,0.0118777598077872,,,,,,,FALSE,,"post - pre moderator contrast (own formal inference per model [DEC-031a.6]); difference of Fisher-z means; no tanh transform of differences; pp_end_lag3; appendix [plan par.6]"
"B3","clean_window","clean_cells","cell_pre","Fisher_z","3LMA-RVE_CR2",0.6,611,27,27,-0.0416445185421806,0.00869745121700246,-4.78812901655265,20.7414327175106,0.000102140893120616,-0.0597455978352889,-0.0235434392490724,,,-0.0416204610077562,-0.0596746111594311,-0.0235390902212953,,,0.000635784555693149,0.000635784341765791,0.00664181864403302,,,,,,,TRUE,"clean_window_cell_pre","Cell mean at coding = 0 (pre); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; subset pp_window_class in {""pre-only"",""post-only""} [P5]; binary clean-post; FULL inference [DEC-031a.5 upgrade fired, design df 12.3]"
"B3","clean_window","clean_cells","cell_post","Fisher_z","3LMA-RVE_CR2",0.6,318,13,13,-0.0545655189060699,0.0149917376241243,-3.63970610173063,10.815944714446,0.00399676597150897,-0.0876307474079234,-0.0215002904042165,,,-0.0545114289408073,-0.0874071244532544,-0.0214969780907706,,,0.000635784555693149,0.000635784341765791,0.00664181864403302,,,,,,,TRUE,"clean_window_cell_post","Cell mean at coding = 1 (post); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; subset pp_window_class in {""pre-only"",""post-only""} [P5]; binary clean-post; FULL inference [DEC-031a.5 upgrade fired, design df 12.3]"
"B3","clean_window","clean_cells","diff","Fisher_z","3LMA-RVE_CR2",0.6,929,40,40,-0.0129210003638893,0.0173319893452172,-0.7455001331082,23.4744834169779,0.46336936745305,-0.0487348936920739,0.0228928929642952,,,,,,,,0.000635784555693149,0.000635784341765791,0.00664181864403302,,,,,,,TRUE,"clean_window_diff","post - pre moderator contrast (own formal inference per model [DEC-031a.6]); difference of Fisher-z means; no tanh transform of differences; subset pp_window_class in {""pre-only"",""post-only""} [P5]; binary clean-post; FULL inference [DEC-031a.5 upgrade fired, design df 12.3]"
