"analysis_id","spec","subset","term","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"F2","outlier_rstudent","estimation","intrcpt",NA,TRUE,NA,2700,115,114,-0.037638203715635,0.00448223016046319,NA,102.474974782347,2.71196424036896e-13,-0.0465281914076081,-0.0287482160236619,NA,NA,-0.0376204405899939,-0.0464946445883098,-0.0287402988914468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drop 13 ES with |rstudent(reestimate=FALSE)| > 3 [DEC-051]; overlap with MAD set = 13; N5/H3 mask relation disclosed descriptively"
"F2","outlier_mad","estimation","intrcpt",NA,TRUE,NA,2438,110,109,-0.0321352959797863,0.00320735190514731,NA,96.5966111898831,1.27037249614377e-16,-0.0385013374059607,-0.0257692545536119,NA,NA,-0.0321242387508478,-0.0384823244886508,-0.0257635520053486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drop 275 ES outside median +/- 3*MAD (b=1.4826, zi, full estimation set) [Leys 2013; DEC-051]; overlap with rstudent set = 13"
"F3","winsor","estimation","intrcpt",NA,TRUE,NA,2713,115,114,-0.0405276006956358,0.00466055903879192,NA,104.577787016801,5.22547323315064e-14,-0.0497690632357346,-0.031286138155537,NA,NA,-0.0405054265858906,-0.049728011920995,-0.0312759342925901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zi winsorized at empirical P1/P99 of the full estimation set (A.13/H3 pin; type-7 quantile); 56 ES clipped; unwinsor == headline (DEC-013(a) status-quo semantics; cross-reference, no fit)"
"F7","trim_1_99","estimation","intrcpt",NA,TRUE,NA,2657,114,113,-0.0410578429201451,0.0047013115507521,NA,105.124625997201,4.16579327612592e-14,-0.0503795464596449,-0.0317361393806454,NA,NA,-0.0410347874284479,-0.0503369669337215,-0.0317254889761988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drop 56 ES with zi outside [P1, P99] (same percentiles as winsor) [DEC-051]"
