"cluster_id","study","esid","zi","vi","rstudent_t","flag_rstudent","mad_center","mad_scale","flag_mad","flag_both","hatvalue"
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",24,-0.040783109809801,0.000273000273000273,0.0997165036724019,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000252770185265993
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",25,-0.0401609400211195,0.00044762757385855,0.10290442522498,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000215869147752353
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",26,-0.0454418507793329,0.00044762757385855,0.07349990470957,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000215869147752349
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",27,0.0291732284616509,0.00044762757385855,0.488962450613814,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000215869147752354
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",28,0.0236779691538278,0.00044762757385855,0.458364420756356,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000215869147752354
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",29,0.11569192598994,0.00280112044817927,0.936934146601061,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,-2.50875129204492e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",30,0.258015591860341,0.00280112044817927,1.70180652449115,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,-2.50875129204542e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",31,-0.0616254012701722,0.00280112044817927,-0.0160003138284245,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,-2.50875129204547e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",32,0.0121217675052726,0.00280112044817927,0.380329924006372,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,-2.50875129204565e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",33,-0.135988930073491,0.00293255131964809,-0.414849752026082,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,-3.36573839188125e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",34,0.0721852523009717,0.00293255131964809,0.701787400358427,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,-3.3657383918809e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",35,0.108696931663451,0.00293255131964809,0.897634441557597,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,-3.36573839188118e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",36,0.13545469419359,0.00293255131964809,1.0411619021439,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,-3.36573839188132e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",37,0.0617970813323355,0.0028169014084507,0.647145949926408,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,-2.61307907608678e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",38,0.116538163286374,0.0028169014084507,0.941266795662781,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,-2.61307907608712e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",39,-0.142219517737662,0.0028169014084507,-0.449024102267794,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,-2.61307907608724e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",40,-0.150063333147322,0.0028169014084507,-0.491168494372179,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,-2.61307907608661e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",41,0.104039177890776,0.000701262272089762,0.90224351915649,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.000173697529688655
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",42,0.0734747289736466,0.000701262272089762,0.732730531839055,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000173697529688649
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",43,-0.123225963110398,0.000701262272089762,-0.358187940565882,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000173697529688648
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",44,-0.113243513521393,0.000701262272089762,-0.302824441123575,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000173697529688653
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",45,0.129991721247825,0.00138504155124654,1.03527013553167,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,9.02696291344613e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",46,0.0989995171868265,0.00138504155124654,0.865178120295479,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,9.02696291344705e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",47,-0.106388318266146,0.00138504155124654,-0.262035380507419,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,9.02696291344671e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",48,-0.083465956569044,0.00138504155124654,-0.13623243059914,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,9.02696291344692e-05
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",49,-0.0759375542380884,0.000278086763070078,-0.0965578069250639,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000251549147326936
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",50,-0.0659613263520468,0.000278086763070078,-0.0408608363451614,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000251549147326937
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",51,-0.0368301231563343,0.000278086763070078,0.121777766730349,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000251549147326928
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",52,-0.0446580263065961,0.000278086763070078,0.0780748264564522,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000251549147326927
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",53,-0.0636948918236262,0.00115340253748558,-0.0278254953582152,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000115262346920194
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",54,-0.0816160122673796,0.00115340253748558,-0.126527894556432,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000115262346920191
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",55,-0.0724892933191526,0.00115340253748558,-0.0762615588200508,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000115262346920182
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",56,-0.0836432777533598,0.00115340253748558,-0.137693266046792,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00011526234692019
"Ali et al (2023)","Ali et al (2023)",57,-0.21317134656486,2.03861129798381e-05,-0.866564269879593,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.00106681789011146
