"analysis_id","spec","subset","term","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"G9","panel_es_measure","partial vs bivariate","pairwise_contrast",NA,TRUE,NA,NA,NA,NA,-0.0363062809141872,0.0289731255762102,NA,36.8971538752436,0.218051814404661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR2/Satterthwaite (HTZ 1-df); z-scale only; descriptive [DEC-047]"
"G10","panel_es_method","computed","cell_mean",NA,TRUE,NA,2300,105,104,-0.0579749107953942,0.012149058257744,NA,110.433636687183,5.62515949951694e-06,-0.0820504413543003,-0.0338993802364882,NA,NA,-0.0579100450321204,-0.0818668071391831,-0.0338864008418828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"main-effect-only per Annex C (method artifact)"
"G10","panel_es_method","bivariate","cell_mean",NA,TRUE,NA,104,52,52,-0.0219972831036286,0.0300300757923749,NA,79.9035323417947,0.466001647545973,-0.0817601461167154,0.0377655799094582,NA,NA,-0.021993735771703,-0.0815784506659757,0.0377476358984007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"main-effect-only per Annex C (method artifact)"
"G10","panel_es_method","star-bound","cell_mean",NA,TRUE,NA,99,11,11,-0.0569614554343989,0.0345580027109948,NA,7.87231627815642,0.138519023774995,-0.136877896944538,0.02295498607574,NA,NA,-0.0568999294308848,-0.136029427044385,0.0229509550244987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"main-effect-only per Annex C (method artifact)"
"G10","panel_es_method","v10-adopted","cell_mean",NA,TRUE,NA,210,29,29,-0.0953523169930491,0.0477616099718067,NA,51.2825401706644,0.0512099652286971,-0.191224925046965,0.000520291060866832,NA,NA,-0.0950643809866135,-0.18892768167507,0.000520291013918756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"main-effect-only per Annex C (method artifact)"
"G10","panel_es_method","panel","HTZ_omnibus",NA,TRUE,NA,2713,115,114,NA,NA,NA,11.0498088101219,0.565437479198861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F=0.7109, df_num=3.0; descriptive [DEC-047]"
"G10","panel_es_method","computed vs bivariate","pairwise_contrast",NA,TRUE,NA,NA,NA,NA,-0.0359776276917656,0.0299345870538923,NA,37.2037767807158,0.237006743631227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR2/Satterthwaite (HTZ 1-df); z-scale only; descriptive [DEC-047]"
"G10","panel_es_method","computed vs star-bound","pairwise_contrast",NA,TRUE,NA,NA,NA,NA,-0.00101345536099532,0.0343686180016678,NA,3.12249984573078,0.978259741494798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR2/Satterthwaite (HTZ 1-df); z-scale only; descriptive [DEC-047]"
"G10","panel_es_method","computed vs v10-adopted","pairwise_contrast",NA,TRUE,NA,NA,NA,NA,0.0373774061976548,0.0439980559512927,NA,14.9739917164311,0.408967203575114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR2/Satterthwaite (HTZ 1-df); z-scale only; descriptive [DEC-047]"
"G10","panel_es_method","bivariate vs star-bound","pairwise_contrast",NA,TRUE,NA,NA,NA,NA,0.0349641723307703,0.0414753148466893,NA,6.18830603686168,0.4305945747785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR2/Satterthwaite (HTZ 1-df); z-scale only; descriptive [DEC-047]"
"G10","panel_es_method","bivariate vs v10-adopted","pairwise_contrast",NA,TRUE,NA,NA,NA,NA,0.0733550338894204,0.0496886118819856,NA,31.6676326538473,0.149740378117607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR2/Satterthwaite (HTZ 1-df); z-scale only; descriptive [DEC-047]"
"G10","panel_es_method","star-bound vs v10-adopted","pairwise_contrast",NA,TRUE,NA,NA,NA,NA,0.0383908615586501,0.0544417691197919,NA,5.88291167568099,0.507646886109138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR2/Satterthwaite (HTZ 1-df); z-scale only; descriptive [DEC-047]"
